SubTask,Difficulty,ExampleType,InputMode,ModelFamiliy,ModelName,Accuracy
remove_node,hard,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,5.56
remove_node,easy,ZeroShot,hierarchy,openai,gpt-3.5-turbo,21.21
remove_node,easy,ZeroShot,edge,openai,gpt-3.5-turbo,42.42
remove_node,hard,ZeroShot,hierarchy,openai,gpt-3.5-turbo,6.94
remove_node,medium,ZeroShot,hierarchy,openai,gpt-3.5-turbo,12.5
remove_node,medium,ZeroShot,edge,openai,gpt-3.5-turbo,48.61
remove_node,hard,ZeroShot,edge,openai,gpt-3.5-turbo,41.67
remove_node,easy,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,27.27
remove_node,hard,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,5.56
remove_node,easy,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,18.18
remove_node,medium,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,19.44
remove_node,hard,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,18.06
remove_node,medium,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,9.72
remove_node,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,60.61
remove_node,easy,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,57.58
remove_node,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,68.06
remove_node,hard,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,62.5
remove_node,medium,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,62.5
remove_node,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,65.28
remove_node,easy,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,18.18
remove_node,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,4.17
remove_node,easy,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,30.3
remove_node,hard,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,4.17
remove_node,easy,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,24.24
remove_node,hard,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,19.44
remove_node,medium,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,26.39
remove_node,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,6.06
remove_node,hard,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,6.94
remove_node,medium,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,27.78
remove_node,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,2.78
remove_node,medium,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,20.83
remove_node,hard,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,9.72
remove_node,hard,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,15.28
remove_node,medium,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,30.56
remove_node,easy,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,15.15
remove_node,easy,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,18.18
remove_node,medium,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,9.72
remove_node,hard,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,8.33
remove_node,easy,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,21.21
remove_node,easy,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,18.18
remove_node,hard,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,8.33
remove_node,medium,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,12.5
remove_node,medium,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,25
remove_node,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,8.33
remove_node,easy,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,15.15
remove_node,easy,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,36.36
remove_node,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,8.33
remove_node,easy,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,39.39
remove_node,hard,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,26.39
remove_node,medium,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,8.33
remove_node,medium,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,9.72
remove_node,hard,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,8.33
remove_node,hard,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,12.5
remove_node,medium,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,9.72
remove_node,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,18.18
remove_node,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,45.45
remove_node,easy,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,42.42
remove_node,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,31.94
remove_node,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,30.56
remove_node,hard,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,27.78
remove_node,medium,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,30.56
remove_node,easy,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,48.48
remove_node,medium,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,44.44
remove_node,easy,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,24.24
remove_node,medium,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,51.39
remove_node,easy,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,63.64
remove_node,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,54.17
remove_node,hard,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,26.39
remove_node,medium,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,22.22
remove_node,easy,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,21.21
remove_node,medium,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,50
remove_node,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,51.52
remove_node,easy,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,42.42
remove_node,hard,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,6.94
remove_node,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,31.94
remove_node,medium,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,20.83
remove_node,hard,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,29.17
remove_node,hard,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,8.33
remove_node,hard,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,34.72
remove_node,easy,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,6.06
remove_node,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,0
remove_node,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,1.39
remove_node,easy,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,18.18
remove_node,medium,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,0
remove_node,easy,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,12.12
remove_node,hard,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,2.78
remove_node,medium,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,4.17
remove_node,medium,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,4.17
remove_node,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,3.03
remove_node,medium,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,5.56
remove_node,hard,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,4.17
remove_node,hard,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,4.17
remove_node,hard,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,2.78
remove_node,easy,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,3.03
remove_node,easy,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,6.06
remove_node,medium,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,4.17
remove_node,hard,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,0
all_children,easy,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
all_children,medium,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
all_children,medium,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
all_children,hard,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
all_children,hard,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
all_children,easy,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
all_children,hard,FewShot,hierarchy,THUDM,glm-4-9b-chat,15.28
all_children,medium,OneShot,edge,THUDM,glm-4-9b-chat,15.28
all_children,medium,ZeroShot,edge,THUDM,glm-4-9b-chat,27.78
all_children,easy,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,30.3
all_children,medium,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,25
all_children,easy,FewShot,edge,THUDM,glm-4-9b-chat,42.42
all_children,hard,OneShot,edge,THUDM,glm-4-9b-chat,11.11
all_children,easy,OneShot,hierarchy,THUDM,glm-4-9b-chat,27.27
all_children,hard,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,12.5
all_children,medium,FewShot,edge,THUDM,glm-4-9b-chat,29.17
all_children,hard,FewShot,edge,THUDM,glm-4-9b-chat,16.67
all_children,easy,ZeroShot,edge,THUDM,glm-4-9b-chat,39.39
all_children,easy,OneShot,edge,THUDM,glm-4-9b-chat,24.24
all_children,hard,OneShot,hierarchy,THUDM,glm-4-9b-chat,12.5
all_children,medium,FewShot,hierarchy,THUDM,glm-4-9b-chat,23.61
all_children,easy,FewShot,hierarchy,THUDM,glm-4-9b-chat,39.39
all_children,hard,ZeroShot,edge,THUDM,glm-4-9b-chat,19.44
all_children,medium,OneShot,hierarchy,THUDM,glm-4-9b-chat,23.61
all_children,medium,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,59.72
all_children,easy,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,69.7
all_children,medium,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,52.78
all_children,hard,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,40.28
all_children,hard,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,43.06
all_children,easy,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,48.48
all_children,medium,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,38.89
all_children,easy,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,30.3
all_children,hard,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,31.94
all_children,medium,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,43.06
all_children,easy,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,33.33
all_children,hard,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,31.94
all_children,medium,ZeroShot,edge,openai,gpt-4-turbo,80.56
all_children,medium,ZeroShot,hierarchy,openai,gpt-4-turbo,77.78
all_children,hard,ZeroShot,edge,openai,gpt-4-turbo,66.67
all_children,easy,ZeroShot,edge,openai,gpt-4-turbo,84.85
all_children,hard,ZeroShot,hierarchy,openai,gpt-4-turbo,69.44
all_children,easy,ZeroShot,hierarchy,openai,gpt-4-turbo,93.94
all_children,hard,ZeroShot,edge,deepseek,deepseek-v3,69.44
all_children,medium,ZeroShot,edge,deepseek,deepseek-v3,75
all_children,easy,ZeroShot,hierarchy,deepseek,deepseek-v3,93.94
all_children,hard,ZeroShot,hierarchy,deepseek,deepseek-v3,69.44
all_children,easy,ZeroShot,edge,deepseek,deepseek-v3,93.94
all_children,medium,ZeroShot,hierarchy,deepseek,deepseek-v3,75
all_children,easy,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,6.06
all_children,hard,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,5.56
all_children,medium,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,5.56
all_children,easy,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,6.06
all_children,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,1.39
all_children,easy,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,3.03
all_children,hard,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,4.17
all_children,hard,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,1.39
all_children,hard,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,2.78
all_children,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,12.12
all_children,medium,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,4.17
all_children,medium,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,5.56
all_children,hard,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,2.78
all_children,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,2.78
all_children,medium,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,1.39
all_children,easy,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,3.03
all_children,easy,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,6.06
all_children,medium,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,2.78
all_children,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,55.56
all_children,hard,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,56.94
all_children,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,58.33
all_children,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,48.48
all_children,medium,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,56.94
all_children,medium,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,56.94
all_children,easy,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,48.48
all_children,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,48.48
all_children,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,58.33
all_children,easy,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,48.48
all_children,hard,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,56.94
all_children,medium,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,2.78
all_children,easy,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,33.33
all_children,hard,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,8.33
all_children,easy,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,21.21
all_children,medium,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,19.44
all_children,hard,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,23.61
all_children,medium,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,16.67
all_children,easy,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,18.18
all_children,hard,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,2.78
all_children,medium,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,38.89
all_children,hard,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,15.28
all_children,medium,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,44.44
all_children,hard,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,25
all_children,easy,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,39.39
all_children,hard,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,30.56
all_children,easy,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,21.21
all_children,easy,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,24.24
all_children,medium,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,13.89
all_children,easy,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,48.48
all_children,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,55.56
all_children,medium,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,58.33
all_children,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,56.94
all_children,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,48.48
all_children,hard,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,55.56
all_children,hard,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
all_children,easy,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,27.27
all_children,easy,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,42.42
all_children,hard,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,26.39
all_children,easy,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,3.03
all_children,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,5.56
all_children,hard,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,19.44
all_children,medium,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,16.67
all_children,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,9.09
all_children,medium,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,30.56
all_children,hard,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,27.78
all_children,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,2.78
all_children,medium,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,36.11
all_children,easy,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,33.33
all_children,easy,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,36.36
all_children,medium,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,20.83
all_children,medium,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,2.78
all_children,hard,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,34.72
all_children,medium,ZeroShot,edge,internlm,internlm2_5-7b-chat,27.78
all_children,easy,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,21.21
all_children,hard,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,9.72
all_children,hard,ZeroShot,edge,internlm,internlm2_5-7b-chat,22.22
all_children,easy,ZeroShot,edge,internlm,internlm2_5-7b-chat,30.3
all_children,medium,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,20.83
all_children,medium,ZeroShot,hierarchy,openai,gpt-3.5-turbo,68.06
all_children,easy,ZeroShot,hierarchy,openai,gpt-3.5-turbo,90.91
all_children,easy,ZeroShot,edge,openai,gpt-3.5-turbo,84.85
all_children,medium,ZeroShot,edge,openai,gpt-3.5-turbo,70.83
all_children,hard,ZeroShot,edge,openai,gpt-3.5-turbo,38.89
all_children,hard,ZeroShot,hierarchy,openai,gpt-3.5-turbo,50
all_children,easy,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,15.15
all_children,hard,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,8.33
all_children,medium,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,15.28
all_children,medium,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,13.89
all_children,hard,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,12.5
all_children,easy,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,9.09
all_children,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,93.94
all_children,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,75
all_children,medium,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,75
all_children,hard,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,68.06
all_children,easy,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,93.94
all_children,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,69.44
all_children,medium,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,11.11
all_children,easy,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,33.33
all_children,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,48.48
all_children,easy,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,33.33
all_children,easy,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,36.36
all_children,medium,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,18.06
all_children,easy,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,27.27
all_children,medium,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,61.11
all_children,hard,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,13.89
all_children,hard,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,11.11
all_children,medium,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,20.83
all_children,hard,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,54.17
all_children,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,43.06
all_children,hard,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,19.44
all_children,medium,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,26.39
all_children,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,34.72
all_children,easy,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,66.67
all_children,hard,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,19.44
all_children,easy,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,18.18
all_children,easy,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,24.24
all_children,hard,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,1.39
all_children,medium,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,15.28
all_children,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,4.17
all_children,medium,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,5.56
all_children,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,13.89
all_children,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,18.18
all_children,easy,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,39.39
all_children,hard,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,5.56
all_children,easy,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,24.24
all_children,hard,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,12.5
all_children,medium,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,16.67
all_children,easy,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,15.15
all_children,medium,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,15.28
all_children,hard,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,6.94
all_children,medium,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,9.72
all_children,hard,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,12.5
all_children,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,66.67
all_children,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,93.94
all_children,hard,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,68.06
all_children,easy,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,90.91
all_children,medium,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,75
all_children,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,76.39
all_children,easy,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,75.76
all_children,medium,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,63.89
all_children,hard,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,41.67
all_children,hard,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,62.5
all_children,medium,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,62.5
all_children,hard,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,45.83
all_children,medium,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,48.61
all_children,medium,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,75
all_children,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,69.7
all_children,hard,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,65.28
all_children,easy,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,63.64
all_children,medium,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,44.44
all_children,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,63.89
all_children,easy,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,66.67
all_children,hard,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,58.33
all_children,easy,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,69.7
all_children,easy,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,78.79
all_children,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,54.17
all_children,medium,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,6.94
all_children,easy,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,9.09
all_children,hard,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,9.72
all_children,easy,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,12.12
all_children,hard,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,9.72
all_children,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,8.33
all_children,easy,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,6.06
all_children,hard,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,8.33
all_children,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,3.03
all_children,hard,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,4.17
all_children,medium,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,9.72
all_children,easy,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,18.18
all_children,easy,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,21.21
all_children,medium,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,16.67
all_children,medium,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,8.33
all_children,medium,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,13.89
all_children,hard,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,11.11
all_children,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,5.56
node_depth,medium,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
node_depth,easy,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
node_depth,easy,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
node_depth,hard,ZeroShot,edge,baichuan-inc,Baichuan-7B,8.33
node_depth,medium,ZeroShot,edge,baichuan-inc,Baichuan-7B,1.39
node_depth,hard,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,1.39
node_depth,easy,ZeroShot,edge,THUDM,glm-4-9b-chat,18.18
node_depth,hard,ZeroShot,edge,THUDM,glm-4-9b-chat,15.28
node_depth,medium,ZeroShot,edge,THUDM,glm-4-9b-chat,25
node_depth,easy,FewShot,edge,THUDM,glm-4-9b-chat,9.09
